Importers	2020-Imported unit value	2020-Unit	2021-Imported unit value	2021-Unit	2022-Imported unit value	2022-Unit	2023-Imported unit value	2023-Unit	2024-Imported unit value	2024-Unit	Imported value in 2024, US Dollar thousand	Imported quantity in 2024	Quantity Unit in 2024	
"Christmas Island"	1667	US Dollar/Units	1000	US Dollar/Units	1333	US Dollar/Units	1750	US Dollar/Units	5125	US Dollar/Units	41	8	Units	
"United States Minor Outlying Islands"											38	0	No quantity	
"British Virgin Islands"											37	0	No quantity	
"Tonga"	56	US Dollar/Units	657	US Dollar/Units	1854	US Dollar/Units		US Dollar/Mixed	7200	US Dollar/Tons	36	5	Tons	
"Eritrea"						US Dollar/Tons				US Dollar/Tons	32	0	Tons	
"Benin"	2467	US Dollar/Tons	2188	US Dollar/Tons	2586	US Dollar/Tons	11429	US Dollar/Tons	1688	US Dollar/Tons	27	16	Tons	
"Kiribati"		US Dollar/Tons	69	US Dollar/Units	217	US Dollar/Units	667	US Dollar/Units	222	US Dollar/Units	26	117	Units	
"Comoros"	2250	US Dollar/Tons	667	US Dollar/Tons	13000	US Dollar/Tons		US Dollar/Tons	2625	US Dollar/Tons	21	8	Tons	
"Niger"	2127	US Dollar/Tons	32429	US Dollar/Tons	2500	US Dollar/Tons	3167	US Dollar/Tons	4750	US Dollar/Tons	19	4	Tons	
"South Sudan"	4000	US Dollar/Tons	6333	US Dollar/Tons	7667	US Dollar/Tons			3600	US Dollar/Tons	18	5	Tons	
"Saint Pierre and Miquelon"		US Dollar/Tons		US Dollar/Tons		US Dollar/Tons	25000	US Dollar/Tons		US Dollar/Tons	14	0	Tons	
"Nauru"			750	US Dollar/Units	1250	US Dollar/Units	1000	US Dollar/Units	2000	US Dollar/Units	14	7	Units	
"Cocos (Keeling) Islands"				US Dollar/Tons	5500	US Dollar/Units			3250	US Dollar/Units	13	4	Units	
"Chad"										US Dollar/Tons	13	0	Tons	
"Anguilla"			56	US Dollar/Units	25	US Dollar/Units	65	US Dollar/Units	228	US Dollar/Units	13	57	Units	
"Norfolk Island"							1620	US Dollar/Units	13000	US Dollar/Units	13	1	Units	
"Guinea-Bissau"				US Dollar/Tons	17000	US Dollar/Tons		US Dollar/Tons	11000	US Dollar/Tons	11	1	Tons	
"Palau"					17000	US Dollar/Tons	17000	US Dollar/Tons			11	0	No quantity	
"Cook Islands"					778	US Dollar/Units	333	US Dollar/Units		US Dollar/Mixed	10	0	Mixed	
"Bonaire, Sint Eustatius and Saba"				US Dollar/Tons		US Dollar/Tons		US Dollar/Tons			9	0	No quantity	
"Sao Tome and Principe"	4500	US Dollar/Tons	7333	US Dollar/Tons	8833	US Dollar/Tons	4125	US Dollar/Tons			9	0	No quantity	
"Gambia"	500	US Dollar/Tons	1200	US Dollar/Tons	667	US Dollar/Tons			467	US Dollar/Tons	7	15	Tons	
"Montserrat"		US Dollar/Tons	20000	US Dollar/Tons	6000	US Dollar/Tons	8000	US Dollar/Tons		US Dollar/Tons	6	0	Tons	
"Guam"		US Dollar/Tons	381000	US Dollar/Tons						US Dollar/Tons	5	0	Tons	
"Dominica"	6143	US Dollar/Tons	7571	US Dollar/Tons	9800	US Dollar/Tons	14667	US Dollar/Tons			5	0	No quantity	
"British Indian Ocean Territory"				US Dollar/Tons					167	US Dollar/Units	3	18	Units	
"Bouvet Island"										US Dollar/Tons	3	0	Tons	
"Saint Helena"	6875	US Dollar/Tons		US Dollar/Tons		US Dollar/Tons					2	0	No quantity	
"Northern Mariana Islands"			3000	US Dollar/Units			1000	US Dollar/Units		US Dollar/Tons	2	0	Tons	
"Tuvalu"						US Dollar/Tons	143	US Dollar/Units			2	0	No quantity	
"French Southern and Antarctic Territories"				US Dollar/Tons				US Dollar/Tons		US Dollar/Tons	1	0	Tons	
"Niue"										US Dollar/Tons	1	0	Tons	
"Falkland Islands (Malvinas)"	16000	US Dollar/Tons	51250	US Dollar/Tons	8000	US Dollar/Tons	34273	US Dollar/Tons						
"Free Zones"			3250	US Dollar/Tons	40778	US Dollar/Tons	22200	US Dollar/Tons						
"Micronesia, Federated States of"			30	US Dollar/Units		US Dollar/Tons								
